SiteName,SiteAddress,SiteCity,PanelNum,PanelWatts,SensorNum,SensorTemp,SensorIrradiance,Date,Time
NW-Vista,100AeroSt,Boerne,3,29,60,55,31,2000-03-01,20:00
NW-Vista,100AeroSt,Boerne,4,33,70,56,18,2000-03-01,20:00
NW-Vista,100AeroSt,Boerne,4,33,80,55,21,2000-03-01,20:00
GreatPlains,5StateHwy1,Paris,1,0,10,43,4,2000-01-01,00:00
GreatPlains,5StateHwy1,Paris,1,0,20,42,3,2000-01-01,00:00
GreatPlains,5StateHwy1,Paris,2,0,30,41,5,2000-01-01,00:00
GreatPlains,5StateHwy1,Paris,2,0,40,39,4,2000-01-01,00:00
GreatPlains,5StateHwy1,Paris,3,0,50,41,4,2000-01-01,00:00
GreatPlains,5StateHwy1,Paris,3,0,60,41,3,2000-01-01,00:00
GreatPlains,5StateHwy1,Paris,4,0,70,41,3,2000-01-01,00:00
GreatPlains,5StateHwy1,Paris,4,0,80,30,3,2000-01-01,00:00
GreatPlains,5StateHwy1,Paris,1,45,10,52,25,2000-01-01,08:00
GreatPlains,5StateHwy1,Paris,1,45,20,51,31,2000-01-01,08:00
GreatPlains,5StateHwy1,Paris,2,51,30,50,27,2000-01-01,08:00
GreatPlains,5StateHwy1,Paris,2,51,40,53,23,2000-01-01,08:00
GreatPlains,5StateHwy1,Paris,3,34,50,50,30,2000-01-01,08:00
GreatPlains,5StateHwy1,Paris,3,34,60,51,22,2000-01-01,08:00
GreatPlains,5StateHwy1,Paris,4,55,70,51,31,2000-01-01,08:00
GreatPlains,5StateHwy1,Paris,4,55,80,51,30,2000-01-01,08:00
GreatPlains,5StateHwy1,Paris,1,112,10,60,55,2000-01-01,12:00
GreatPlains,5StateHwy1,Paris,1,112,20,61,56,2000-01-01,12:00
GreatPlains,5StateHwy1,Paris,2,140,30,60,49,2000-01-01,12:00
GreatPlains,5StateHwy1,Paris,2,140,40,60,60,2000-01-01,12:00
GreatPlains,5StateHwy1,Paris,3,144,50,61,57,2000-01-01,12:00
GreatPlains,5StateHwy1,Paris,3,144,60,60,58,2000-01-01,12:00
GreatPlains,5StateHwy1,Paris,4,143,70,61,60,2000-01-01,12:00
GreatPlains,5StateHwy1,Paris,4,143,80,60,49,2000-01-01,12:00
GreatPlains,5StateHwy1,Paris,1,19,10,55,10,2000-01-01,20:00
GreatPlains,5StateHwy1,Paris,1,19,20,53,9,2000-01-01,20:00
GreatPlains,5StateHwy1,Paris,2,27,30,56,15,2000-01-01,20:00
GreatPlains,5StateHwy1,Paris,2,27,40,55,11,2000-01-01,20:00
GreatPlains,5StateHwy1,Paris,3,22,50,54,10,2000-01-01,20:00
GreatPlains,5StateHwy1,Paris,3,22,60,55,11,2000-01-01,20:00
GreatPlains,5StateHwy1,Paris,4,23,70,56,13,2000-01-01,20:00
GreatPlains,5StateHwy1,Paris,4,23,80,55,12,2000-01-01,20:00
GreatPlains,5StateHwy1,Paris,1,0,10,50,5,2000-02-01,00:00
GreatPlains,5StateHwy1,Paris,1,0,20,51,3,2000-02-01,00:00
GreatPlains,5StateHwy1,Paris,2,0,30,50,3,2000-02-01,00:00
GreatPlains,5StateHwy1,Paris,2,0,40,50,4,2000-02-01,00:00
GreatPlains,5StateHwy1,Paris,3,0,50,50,3,2000-02-01,00:00
GreatPlains,5StateHwy1,Paris,3,0,60,50,3,2000-02-01,00:00
GreatPlains,5StateHwy1,Paris,4,0,70,50,5,2000-02-01,00:00
GreatPlains,5StateHwy1,Paris,4,0,80,50,3,2000-02-01,00:00
GreatPlains,5StateHwy1,Paris,1,55,10,60,30,2000-02-01,08:00
GreatPlains,5StateHwy1,Paris,1,55,20,65,32,2000-02-01,08:00
GreatPlains,5StateHwy1,Paris,2,65,30,60,30,2000-02-01,08:00
GreatPlains,5StateHwy1,Paris,2,65,40,60,39,2000-02-01,08:00
GreatPlains,5StateHwy1,Paris,3,46,50,60,35,2000-02-01,08:00
GreatPlains,5StateHwy1,Paris,3,46,60,60,29,2000-02-01,08:00
GreatPlains,5StateHwy1,Paris,4,59,70,61,34,2000-02-01,08:00
GreatPlains,5StateHwy1,Paris,4,59,80,60,36,2000-02-01,08:00
GreatPlains,5StateHwy1,Paris,1,121,10,68,59,2000-02-01,12:00
GreatPlains,5StateHwy1,Paris,1,121,20,71,62,2000-02-01,12:00
GreatPlains,5StateHwy1,Paris,2,130,30,69,64,2000-02-01,12:00
GreatPlains,5StateHwy1,Paris,2,130,40,71,65,2000-02-01,12:00
GreatPlains,5StateHwy1,Paris,3,129,50,68,70,2000-02-01,12:00
GreatPlains,5StateHwy1,Paris,3,129,60,68,59,2000-02-01,12:00
GreatPlains,5StateHwy1,Paris,4,147,70,69,60,2000-02-01,12:00
GreatPlains,5StateHwy1,Paris,4,147,80,69,67,2000-02-01,12:00
GreatPlains,5StateHwy1,Paris,1,28,10,56,20,2000-02-01,20:00
GreatPlains,5StateHwy1,Paris,1,28,20,54,19,2000-02-01,20:00
GreatPlains,5StateHwy1,Paris,2,24,30,57,19,2000-02-01,20:00
GreatPlains,5StateHwy1,Paris,2,24,40,53,21,2000-02-01,20:00
GreatPlains,5StateHwy1,Paris,3,30,50,55,18,2000-02-01,20:00
GreatPlains,5StateHwy1,Paris,3,30,60,53,22,2000-02-01,20:00
GreatPlains,5StateHwy1,Paris,4,31,70,57,25,2000-02-01,20:00
GreatPlains,5StateHwy1,Paris,4,31,80,56,25,2000-02-01,20:00
GreatPlains,5StateHwy1,Paris,1,0,10,55,5,2000-03-01,00:00
GreatPlains,5StateHwy1,Paris,1,0,20,56,3,2000-03-01,00:00
GreatPlains,5StateHwy1,Paris,2,0,30,55,5,2000-03-01,00:00
GreatPlains,5StateHwy1,Paris,2,0,40,56,3,2000-03-01,00:00
GreatPlains,5StateHwy1,Paris,3,0,50,56,5,2000-03-01,00:00
GreatPlains,5StateHwy1,Paris,3,0,60,55,5,2000-03-01,00:00
GreatPlains,5StateHwy1,Paris,4,0,70,56,4,2000-03-01,00:00
GreatPlains,5StateHwy1,Paris,4,0,80,55,4,2000-03-01,00:00
GreatPlains,5StateHwy1,Paris,1,52,10,63,30,2000-03-01,08:00
GreatPlains,5StateHwy1,Paris,1,52,20,65,36,2000-03-01,08:00
GreatPlains,5StateHwy1,Paris,2,54,30,64,32,2000-03-01,08:00
GreatPlains,5StateHwy1,Paris,2,54,40,64,29,2000-03-01,08:00
GreatPlains,5StateHwy1,Paris,3,51,50,64,30,2000-03-01,08:00
GreatPlains,5StateHwy1,Paris,3,51,60,63,35,2000-03-01,08:00
GreatPlains,5StateHwy1,Paris,4,60,70,64,31,2000-03-01,08:00
GreatPlains,5StateHwy1,Paris,4,60,80,64,38,2000-03-01,08:00
GreatPlains,5StateHwy1,Paris,1,123,10,60,43,2000-03-01,12:00
GreatPlains,5StateHwy1,Paris,1,123,20,61,44,2000-03-01,12:00
GreatPlains,5StateHwy1,Paris,2,138,30,60,44,2000-03-01,12:00
GreatPlains,5StateHwy1,Paris,2,138,40,60,45,2000-03-01,12:00
GreatPlains,5StateHwy1,Paris,3,144,50,61,40,2000-03-01,12:00
GreatPlains,5StateHwy1,Paris,3,144,60,60,45,2000-03-01,12:00
GreatPlains,5StateHwy1,Paris,4,145,70,61,40,2000-03-01,12:00
GreatPlains,5StateHwy1,Paris,4,145,80,60,49,2000-03-01,12:00
GreatPlains,5StateHwy1,Paris,1,26,10,52,21,2000-03-01,20:00
GreatPlains,5StateHwy1,Paris,1,26,20,52,17,2000-03-01,20:00
GreatPlains,5StateHwy1,Paris,2,31,30,53,19,2000-03-01,20:00
GreatPlains,5StateHwy1,Paris,2,31,40,53,20,2000-03-01,20:00
GreatPlains,5StateHwy1,Paris,3,30,50,53,20,2000-03-01,20:00
GreatPlains,5StateHwy1,Paris,3,30,60,52,27,2000-03-01,20:00
GreatPlains,5StateHwy1,Paris,4,28,70,53,25,2000-03-01,20:00
GreatPlains,5StateHwy1,Paris,4,28,80,52,22,2000-03-01,20:00
BatCave,1856ScenicLoop,Bulverde,1,0,10,40,5,2000-01-01,00:00
BatCave,1856ScenicLoop,Bulverde,1,0,20,41,3,2000-01-01,00:00
BatCave,1856ScenicLoop,Bulverde,2,0,30,39,3,2000-01-01,00:00
BatCave,1856ScenicLoop,Bulverde,2,0,40,40,4,2000-01-01,00:00
BatCave,1856ScenicLoop,Bulverde,3,0,50,39,3,2000-01-01,00:00
BatCave,1856ScenicLoop,Bulverde,3,0,60,40,5,2000-01-01,00:00
BatCave,1856ScenicLoop,Bulverde,4,0,70,40,3,2000-01-01,00:00
BatCave,1856ScenicLoop,Bulverde,4,0,80,439,5,2000-01-01,00:00
BatCave,1856ScenicLoop,Bulverde,1,52,10,50,23,2000-01-01,08:00
BatCave,1856ScenicLoop,Bulverde,1,52,20,51,28,2000-01-01,08:00
BatCave,1856ScenicLoop,Bulverde,2,49,30,50,24,2000-01-01,08:00
BatCave,1856ScenicLoop,Bulverde,2,49,40,50,28,2000-01-01,08:00
BatCave,1856ScenicLoop,Bulverde,3,52,50,50,23,2000-01-01,08:00
BatCave,1856ScenicLoop,Bulverde,3,52,60,50,24,2000-01-01,08:00
BatCave,1856ScenicLoop,Bulverde,4,55,70,51,30,2000-01-01,08:00
BatCave,1856ScenicLoop,Bulverde,4,55,80,50,26,2000-01-01,08:00
BatCave,1856ScenicLoop,Bulverde,1,108,10,60,55,2000-01-01,12:00
BatCave,1856ScenicLoop,Bulverde,1,108,20,61,56,2000-01-01,12:00
BatCave,1856ScenicLoop,Bulverde,2,100,30,60,49,2000-01-01,12:00
BatCave,1856ScenicLoop,Bulverde,2,100,40,60,55,2000-01-01,12:00
BatCave,1856ScenicLoop,Bulverde,3,124,50,61,57,2000-01-01,12:00
BatCave,1856ScenicLoop,Bulverde,3,124,60,60,58,2000-01-01,12:00
BatCave,1856ScenicLoop,Bulverde,4,140,70,61,55,2000-01-01,12:00
BatCave,1856ScenicLoop,Bulverde,4,140,80,60,49,2000-01-01,12:00
BatCave,1856ScenicLoop,Bulverde,1,22,10,55,10,2000-01-01,20:00
BatCave,1856ScenicLoop,Bulverde,1,22,20,53,9,2000-01-01,20:00
BatCave,1856ScenicLoop,Bulverde,2,25,30,56,10,2000-01-01,20:00
BatCave,1856ScenicLoop,Bulverde,2,25,40,55,10,2000-01-01,20:00
BatCave,1856ScenicLoop,Bulverde,3,29,50,54,10,2000-01-01,20:00
BatCave,1856ScenicLoop,Bulverde,3,29,60,55,11,2000-01-01,20:00
BatCave,1856ScenicLoop,Bulverde,4,23,70,56,10,2000-01-01,20:00
BatCave,1856ScenicLoop,Bulverde,4,23,80,55,12,2000-01-01,20:00
BatCave,1856ScenicLoop,Bulverde,1,0,10,50,5,2000-02-01,00:00
BatCave,1856ScenicLoop,Bulverde,1,0,20,51,3,2000-02-01,00:00
BatCave,1856ScenicLoop,Bulverde,2,0,30,50,4,2000-02-01,00:00
BatCave,1856ScenicLoop,Bulverde,2,0,40,50,3,2000-02-01,00:00
BatCave,1856ScenicLoop,Bulverde,3,0,50,50,3,2000-02-01,00:00
BatCave,1856ScenicLoop,Bulverde,3,0,60,50,3,2000-02-01,00:00
BatCave,1856ScenicLoop,Bulverde,4,0,70,50,5,2000-02-01,00:00
BatCave,1856ScenicLoop,Bulverde,4,0,80,50,3,2000-02-01,00:00
BatCave,1856ScenicLoop,Bulverde,1,54,10,60,30,2000-02-01,08:00
BatCave,1856ScenicLoop,Bulverde,1,54,20,65,32,2000-02-01,08:00
BatCave,1856ScenicLoop,Bulverde,2,61,30,60,30,2000-02-01,08:00
BatCave,1856ScenicLoop,Bulverde,2,61,40,60,28,2000-02-01,08:00
BatCave,1856ScenicLoop,Bulverde,3,56,50,60,31,2000-02-01,08:00
BatCave,1856ScenicLoop,Bulverde,3,56,60,60,29,2000-02-01,08:00
BatCave,1856ScenicLoop,Bulverde,4,60,70,61,34,2000-02-01,08:00
BatCave,1856ScenicLoop,Bulverde,4,60,80,60,36,2000-02-01,08:00
BatCave,1856ScenicLoop,Bulverde,1,120,10,68,60,2000-02-01,12:00
BatCave,1856ScenicLoop,Bulverde,1,120,20,71,62,2000-02-01,12:00
BatCave,1856ScenicLoop,Bulverde,2,130,30,65,64,2000-02-01,12:00
BatCave,1856ScenicLoop,Bulverde,2,130,40,71,65,2000-02-01,12:00
BatCave,1856ScenicLoop,Bulverde,3,138,50,68,55,2000-02-01,12:00
BatCave,1856ScenicLoop,Bulverde,3,138,60,70,59,2000-02-01,12:00
BatCave,1856ScenicLoop,Bulverde,4,147,70,69,60,2000-02-01,12:00
BatCave,1856ScenicLoop,Bulverde,4,147,80,69,63,2000-02-01,12:00
BatCave,1856ScenicLoop,Bulverde,1,22,10,56,20,2000-02-01,20:00
BatCave,1856ScenicLoop,Bulverde,1,22,20,54,19,2000-02-01,20:00
BatCave,1856ScenicLoop,Bulverde,2,28,30,57,19,2000-02-01,20:00
BatCave,1856ScenicLoop,Bulverde,2,28,40,53,21,2000-02-01,20:00
BatCave,1856ScenicLoop,Bulverde,3,29,50,55,18,2000-02-01,20:00
BatCave,1856ScenicLoop,Bulverde,3,29,60,53,22,2000-02-01,20:00
BatCave,1856ScenicLoop,Bulverde,4,33,70,57,25,2000-02-01,20:00
BatCave,1856ScenicLoop,Bulverde,4,33,80,56,24,2000-02-01,20:00
BatCave,1856ScenicLoop,Bulverde,1,0,10,55,5,2000-03-01,00:00
BatCave,1856ScenicLoop,Bulverde,1,0,20,56,3,2000-03-01,00:00
BatCave,1856ScenicLoop,Bulverde,2,0,30,54,5,2000-03-01,00:00
BatCave,1856ScenicLoop,Bulverde,2,0,40,55,3,2000-03-01,00:00
BatCave,1856ScenicLoop,Bulverde,3,0,50,56,5,2000-03-01,00:00
BatCave,1856ScenicLoop,Bulverde,3,0,60,55,3,2000-03-01,00:00
BatCave,1856ScenicLoop,Bulverde,4,0,70,54,4,2000-03-01,00:00
BatCave,1856ScenicLoop,Bulverde,4,0,80,55,3,2000-03-01,00:00
BatCave,1856ScenicLoop,Bulverde,1,49,10,63,30,2000-03-01,08:00
BatCave,1856ScenicLoop,Bulverde,1,49,20,65,36,2000-03-01,08:00
BatCave,1856ScenicLoop,Bulverde,2,56,30,64,32,2000-03-01,08:00
BatCave,1856ScenicLoop,Bulverde,2,56,40,64,29,2000-03-01,08:00
BatCave,1856ScenicLoop,Bulverde,3,54,50,64,30,2000-03-01,08:00
BatCave,1856ScenicLoop,Bulverde,3,54,60,63,35,2000-03-01,08:00
BatCave,1856ScenicLoop,Bulverde,4,60,70,64,31,2000-03-01,08:00
BatCave,1856ScenicLoop,Bulverde,4,60,80,64,38,2000-03-01,08:00
BatCave,1856ScenicLoop,Bulverde,1,123,10,60,55,2000-03-01,12:00
BatCave,1856ScenicLoop,Bulverde,1,123,20,61,56,2000-03-01,12:00
BatCave,1856ScenicLoop,Bulverde,2,136,30,60,49,2000-03-01,12:00
BatCave,1856ScenicLoop,Bulverde,2,136,40,60,60,2000-03-01,12:00
BatCave,1856ScenicLoop,Bulverde,3,145,50,61,57,2000-03-01,12:00
BatCave,1856ScenicLoop,Bulverde,3,14560,60,58,2000-03-01,12:00
BatCave,1856ScenicLoop,Bulverde,4,132,70,65,62,2000-03-01,12:00
BatCave,1856ScenicLoop,Bulverde,4,132,80,58,45,2000-03-01,12:00
BatCave,1856ScenicLoop,Bulverde,1,31,10,55,19,2000-03-01,20:00
BatCave,1856ScenicLoop,Bulverde,1,31,20,53,17,2000-03-01,20:00
BatCave,1856ScenicLoop,Bulverde,2,28,30,56,18,2000-03-01,20:00
BatCave,1856ScenicLoop,Bulverde,2,28,40,55,20,2000-03-01,20:00
BatCave,1856ScenicLoop,Bulverde,3,24,50,54,19,2000-03-01,20:00
BatCave,1856ScenicLoop,Bulverde,3,24,60,60,23,2000-03-01,20:00
BatCave,1856ScenicLoop,Bulverde,4,33,70,56,18,2000-03-01,20:00
BatCave,1856ScenicLoop,Bulverde,4,33,80,55,21,2000-03-01,20:00
RiverBend,20987SmithRd.,FallsCity,1,0,10,40,3,2000-01-01,00:00
RiverBend,20987SmithRd.,FallsCity,1,0,20,41,4,2000-01-01,00:00
RiverBend,20987SmithRd.,FallsCity,2,0,30,40,3,2000-01-01,00:00
RiverBend,20987SmithRd.,FallsCity,2,0,40,40,3,2000-01-01,00:00
RiverBend,20987SmithRd.,FallsCity,3,0,50,40,3,2000-01-01,00:00
RiverBend,20987SmithRd.,FallsCity,3,0,60,40,4,2000-01-01,00:00
RiverBend,20987SmithRd.,FallsCity,4,0,70,40,3,2000-01-01,00:00
RiverBend,20987SmithRd.,FallsCity,4,0,80,40,4,2000-01-01,00:00
RiverBend,20987SmithRd.,FallsCity,1,57,10,50,23,2000-01-01,08:00
RiverBend,20987SmithRd.,FallsCity,1,57,20,51,28,2000-01-01,08:00
RiverBend,20987SmithRd.,FallsCity,2,51,30,50,24,2000-01-01,08:00
RiverBend,20987SmithRd.,FallsCity,2,51,40,50,19,2000-01-01,08:00
RiverBend,20987SmithRd.,FallsCity,3,50,50,50,23,2000-01-01,08:00
RiverBend,20987SmithRd.,FallsCity,3,50,60,50,15,2000-01-01,08:00
RiverBend,20987SmithRd.,FallsCity,4,55,70,51,30,2000-01-01,08:00
RiverBend,20987SmithRd.,FallsCity,4,55,80,50,26,2000-01-01,08:00
RiverBend,20987SmithRd.,FallsCity,1,112,10,60,55,2000-01-01,12:00
RiverBend,20987SmithRd.,FallsCity,1,112,20,61,56,2000-01-01,12:00
RiverBend,20987SmithRd.,FallsCity,2,150,30,60,49,2000-01-01,12:00
RiverBend,20987SmithRd.,FallsCity,2,150,40,60,60,2000-01-01,12:00
RiverBend,20987SmithRd.,FallsCity,3,134,50,61,57,2000-01-01,12:00
RiverBend,20987SmithRd.,FallsCity,3,134,60,60,58,2000-01-01,12:00
RiverBend,20987SmithRd.,FallsCity,4,143,70,61,60,2000-01-01,12:00
RiverBend,20987SmithRd.,FallsCity,4,143,80,60,49,2000-01-01,12:00
RiverBend,20987SmithRd.,FallsCity,1,20,10,55,10,2000-01-01,20:00
RiverBend,20987SmithRd.,FallsCity,1,20,20,53,9,2000-01-01,20:00
RiverBend,20987SmithRd.,FallsCity,2,21,30,56,10,2000-01-01,20:00
RiverBend,20987SmithRd.,FallsCity,2,21,40,55,11,2000-01-01,20:00
RiverBend,20987SmithRd.,FallsCity,3,20,50,54,10,2000-01-01,20:00
RiverBend,20987SmithRd.,FallsCity,3,20,60,55,11,2000-01-01,20:00
RiverBend,20987SmithRd.,FallsCity,4,24,70,56,13,2000-01-01,20:00
RiverBend,20987SmithRd.,FallsCity,4,24,80,55,12,2000-01-01,20:00
RiverBend,20987SmithRd.,FallsCity,1,0,10,50,5,2000-02-01,00:00
RiverBend,20987SmithRd.,FallsCity,1,0,20,51,3,2000-02-01,00:00
RiverBend,20987SmithRd.,FallsCity,2,0,30,50,4,2000-02-01,00:00
RiverBend,20987SmithRd.,FallsCity,2,0,40,50,3,2000-02-01,00:00
RiverBend,20987SmithRd.,FallsCity,3,0,50,50,3,2000-02-01,00:00
RiverBend,20987SmithRd.,FallsCity,3,0,60,50,3,2000-02-01,00:00
RiverBend,20987SmithRd.,FallsCity,4,0,70,50,5,2000-02-01,00:00
RiverBend,20987SmithRd.,FallsCity,4,0,80,50,3,2000-02-01,00:00
RiverBend,20987SmithRd.,FallsCity,1,56,10,60,30,2000-02-01,08:00
RiverBend,20987SmithRd.,FallsCity,1,56,20,65,32,2000-02-01,08:00
RiverBend,20987SmithRd.,FallsCity,2,60,30,60,30,2000-02-01,08:00
RiverBend,20987SmithRd.,FallsCity,2,60,40,60,28,2000-02-01,08:00
RiverBend,20987SmithRd.,FallsCity,3,56,50,60,31,2000-02-01,08:00
RiverBend,20987SmithRd.,FallsCity,3,56,60,60,29,2000-02-01,08:00
RiverBend,20987SmithRd.,FallsCity,4,60,70,61,34,2000-02-01,08:00
RiverBend,20987SmithRd.,FallsCity,4,60,80,60,36,2000-02-01,08:00
RiverBend,20987SmithRd.,FallsCity,1,125,10,68,60,2000-02-01,12:00
RiverBend,20987SmithRd.,FallsCity,1,125,20,71,62,2000-02-01,12:00
RiverBend,20987SmithRd.,FallsCity,2,130,30,65,64,2000-02-01,12:00
